recipe_id,title,ingredients,reference,prediction,method
0,Apple Dumplings,"1 c. sugar 1 c. water 1/2 tsp. cinnamon 2 drops of red food coloring 2 Tbsp. butter 2 c. flour 2 tsp. baking powder 1/2 tsp. salt 2/3 c. shortening 1/2 c. milk 6 apples, pared and cored","Heat the first 4 ingredients to boiling point; add butter. Sift flour, baking powder and salt together. Cut in shortening; add milk all at once. Stir until flour is moistened. Roll 1/4-inch thick; cut in 6-inch squares. Place an apple on each square; season with sugar, cinnamon and butter. Moisten the edges; fold corners to middle and pinch together. Place dumplings 1 inch apart in baking dish. Pour syrup over them and bake about 35 minutes at 375°. Place cinnamon candy or cube of red jelly on top of each one. Serve with milk or cream.","In a large bowl, combine sugar, water, cinnamon, baking powder, salt, baking soda, milk, and butter. Stir in apples. Add flour, baking, and salt. Stir well. Add apples and stir well. Pour into a greased 9 x 9 x 12-inch baking dish. Bake at 350° for 20 minutes or until golden brown.",finetuned_greedy
1,"Butternut Squash, Bacon And Lentil Soup","2 - 3 slices bacon roughly chopped (whatever you've got - ham is fine) 1 butternut squash (peeled and chopped into approx 1 inch pieces) 1 - 2 sticks celery, washed & roughly chopped 1 - 2 leeks washed & chopped 1 - 2 medium carrots washed & chopped Butter - depending on how healthy you've decided to be! 1.5 - 2 litres of stock - it has to be Bouillon A dash of milk (maybe a quarter pint) A couple of good tablespoons of dried red lentils (I use these because you don't have to soak them overnight). Puy lentils would be fine too. Maldon salt & freshly milled black pepper Cream & parsley to finish (optional)","Everything is roughly chopped as you will blend it at the end anyway. Fry the bacon in the butter (a good egg size lump for me!) on a low to medium heat just to colour it (not crisp it). 5 minutes later add the pieces of butternut squash, celery, leeks, and carrot and sweat off for 5 - 10 mins on a low heat. Don't colour the vegetables - you're just trying to soften them. Add the stock (use your imagination on how thick you like your soup but I'd have thought about 1.5 - 2 litres would be good). Stir and let simmer for at least half an hour. Add your lentils and simmer for at least another half hour. If you leave the lid off the soup will become more concentrated. After an hour I normally add some milk - about a quarter pint and just let simmer on a low heat for another 15 minutes. Add some salt & pepper (to your taste). Once cooked, let cool for 10 minutes and then whizz with a hand blender. Once cool, I add some flat leaved parsley and (if not freezing) a swirl of cream. This freezes fabulously and is great for a lunch at work with some fresh crusty bread.","In a large bowl, combine bacon, squash, celery and carrots. Add lentils and cook until tender. Add the remaining ingredients and cook for 1 minute. Add salt & pepper and cook another minute. Stir in the remaining 1/2 cup of stock. Add remaining ingredients, stir and cook a few more minutes. Add to the soup and stir until it is thickened. Serve immediately.",finetuned_greedy
2,Rocky Road Bars,"12 cup butter 1 cup sugar 12-1 cup nuts, chopped 1 teaspoon vanilla 1 (1 ounce) unsweetened chocolate square 1 cup all-purpose flour 1 teaspoon baking powder 2 eggs 8 ounces cream cheese, softened (reserve 2 oz for frosting) 14 cup butter, softened 12 teaspoon vanilla 1 cup semi-sweet chocolate chips, pkg (6 oz) 12 cup sugar 2 tablespoons all-purpose flour 1 egg 14 cup nuts, chopped 2 cups mini marshmallows 1 (1 ounce) unsweetened chocolate square 14 cup milk 1 teaspoon vanilla 14 cup butter, softened 3 cups powdered sugar 2 ounces cream cheese, remaining from the filling","Preheat oven to 350F. Grease and flour a 9x13-inch pan. In large saucepan over low heat, melt 1/2 cup butter and 1 oz. square of chocolate. Add remaining bar ingredients, mix well. Spread into prepared pan. In small bowl combine 6 oz. cream cheese with sugar, flour, butter, egg and vanilla. Blend until smooth and fluffy. Stir in nuts. Spread over the chocolate mixture. Sprinkle with chocolate chips. Bake 25-35 minutes or until toothpick comes out clean. Remove from oven, sprinkle with marshmallows and bake 2 minutes more. In large saucepan over low heat, melt 1/4 cup butter, 1 oz. chocolate square and remaining cream cheese and milk. Stir in powdered sugar and vanilla until smooth. Immediately pour over the marshmallows and swirl together. Makes 3 dozen squares.","In a large bowl, combine butter, sugar, baking powder, baking soda, eggs, cream cheese and vanilla. Stir in chocolate chips. Add marshmills and mix well. Pour into prepared pan. Bake at 350° for 30 minutes or until a toothpick inserted in the center comes out clean.",finetuned_greedy
3,Slow Cooker Root Beer Pulled Pork,2 pounds New York (top loin) pork roast 1 can root beer 18 ounces barbecue sauce bottle 8 hamburger buns,"Spray your slow cooker with non-stick cooking spray. Place pork in slow cooker. Pour root beer over the pork. Cover and cook on low heat for 6 to 8 hours or until it shreds easily with two forks. Remove pork and shred it using two forks. Drain most of the liquid from slow cooker (keep about 1/2 cup), and return shredded pork to slow cooker, stir in barbecue sauce. Continue heating on low for an additional 30 minutes, until warmed through. Serve on hamburger buns.","In a large saucepan over medium heat, add the pork roast, barbecue sauce, and barbecue sauce. Cook until tender, about 5 minutes. Add the pork and cook until tender. Add all of the ingredients except the barbecue sauce and cook for another 5 minutes, until the pork is tender. Remove from heat and stir in the barbecue.",finetuned_greedy
4,Tarrah'S Sweet Fried Bananas With Raspberry Coconut Sauce,"10 small bananas 10 egg roll wraps 1/4 cup honey 1 tablespoon cinnamon peanut oil, to deep fry in 1 cup powdered sugar (to garnish) For the Sauce 1 cup raspberries, thawed (pureed and strained) 15 ounces coconut milk (not cream of coconut) 1/4 cup maple syrup (or to taste) 2 teaspoons lemon juice (or half a lemon) 2 tablespoons rum (or your favorite liquor to taste)","For the Bananas: In a deep wok or skillet, fill with peanut oil half way, and heat until about 375 degrees, or when bubbles form around food when placed in oil. (tear off a little piece of the wrappers, and place in oil to test) Place bananas on wrappers diagonaly across, and drizzle with a little honey. Sprinkle a little bit of cinnamon on top of banana and honey. (the 1/4 cup honey and the cinnamon is for all of the bananas). Wrap bananas in eggroll wrappers: Fold bottom corner over banana, then tuck side corners in, Roll rest of wrapper over banana, using a little water (or honey) to seal the edges. Place wrapped bananas in fryer oil and fry until golden (about 5 minutes). Drain on paper towel, and allow to cool slightly before serving. For Sauce: Place strained raspberries and coconut milk in small saucepan and heat over medium heat. Stir to combine, then add and stir in remaining ingredients. Heat mixture until boiled down slightly, and you have a realtivly thick sauce. You may want to chill sauce before serving, but it is good warm too. Sprinkle fried bananas with powdered sugar and serve with raspberry sauce.","In a large bowl, combine the bananas, honey, cinnamon, peanut oil and sugar. Stir in the rum and lemon juice. Add the coconut milk and stir until well blended. Add in the raspberry and rum. Stir until well combined. Add all the ingredients and stir to combine. Pour into a greased 9 x 9-inch baking dish. Bake at 350° for 10 minutes or until the bananas are golden brown.",finetuned_greedy
5,P Triple B,2 ounces Peach Infused Bulleit Bourbon 1/2 ounce Aperol 1/2 ounce Fresh Squeezed Lemon Juice 3/4 ounce hoppy IPA,"Infuse bourbon: Add 1-2 peaches to 750 ml of bourbon and allow to infused for ~6-10 days. Strain and filter, pressing to extract as much as possible. Optional Final Step: add pectic enzyme and filter through a coffee filter to clarify. Shake peach infused bourbon, Aperol, and lemon juice over ice. Add IPA and stir to combine. Double strain into a coupe glass. Garnish with lemon twist or a peach slice.",Combine all ingredients in a blender. Blend until smooth. Pour into a 9 x 9-inch pan. Bake at 350° for 15 minutes.,finetuned_greedy
6,Chicken Casserole,1 can mushroom soup 1 can celery soup 1 box chicken flavored stuffing mix 1/4 stick oleo 6 chicken breasts 1 pt. sour cream 1 can sliced water chestnuts,"Boil chicken breasts; pull off bone and cut in chunks. Lay in casserole bowl. Mix and heat mushroom soup, celery soup and sour cream. Add oleo to soup mixture. Pour soup over chicken. Top with stuffing mix. Bake, covered, at 350° for 45 minutes. Uncover and cook 20 minutes or until brown.",Mix all ingredients together in a large bowl. Add chicken broth and water chestnut mixture. Stir in sour cream and water. Cover and refrigerate for at least 1 hour.,finetuned_greedy
7,Phad Ped Gare (Stir-Fried Lamb With Red Curry Paste and Ginger),"200 g lamb, sliced 120 g string beans 80 g purple eggplants 30 g ginger 20 g kaffir lime leaves 10 g fresh black peppercorns 50 g Thai basil 10 g garlic, chopped 10 g small red chilies, chopped 20 g big red chilies, sliced 30 g white sugar 30 g oyster sauce 10 ml coconut milk","Heat wok and add oil. When the oil is hot, add the garlic, small chopped chilies, curry paste and wild ginger. Stir and cook until the mixture is soft and flavorful. Add the lamb, string beans, and eggplant to the curry paste. Keep stirring until fully cooked. Add sugar and oyster sauce and stir well. Taste to see if more seasoning is needed. Add the fresh pepper corns, sweet basil, and sliced chili. Stir well. Ladle on to a plate, add a dash of coconut milk and serve.","In a large bowl, combine the lamb, beans, and ginger. Stir in the kaffirs and lime leaves. Add the garlic, ginger, and oyster. Stir well. Add all the ingredients except the kafir lime. Stir until the mixture is thickened. Add a little more coconut milk and stir well. Pour the mixture into a large saucepan and heat over medium-high heat. Cook for about 10 minutes, stirring occasionally. Remove from heat and stir in the coconut milk. Add to the saucepan, and cook for another 10 minutes. Add oyster and stir until the oyster is cooked through. Add more coconut and stir to combine. Add another tablespoon of coconut milk, and stir. Cook until the coconut is thick and the oysters are cooked through, about",finetuned_greedy
8,Salted Caramel Chocolate Chip Cookies,"2 3 .5-ounce caramel-filled dark chocolate candy bars 1 3/4 cups all-purpose flour 1/2 teaspoon baking soda 1/2 teaspoon baking powder 1/4 teaspoon fine salt 1 stick unsalted butter, at room temperature 1/2 cup packed light brown sugar 1/4 cup granulated sugar 1 large egg 1 teaspoon pure vanilla extract Flaky sea salt, for sprinkling","Freeze the candy bars until hard, at least 1 hour; cut into 1/4-inch pieces and keep frozen until ready to use. Whisk the flour, baking soda, baking powder and fine salt in a medium bowl. Beat the butter, brown sugar and granulated sugar in a large bowl with a mixer on medium speed until light and creamy, about 3 minutes. Add the egg and vanilla and beat until combined. Reduce the mixer speed to low and gradually beat in the flour mixture until incorporated. Stir in the frozen chocolate pieces. Line 2 baking sheets with parchment paper. Arrange scoops of dough (about 2 tablespoons per cookie) about 2 inches apart on the baking sheets. Refrigerate until cold, at least 1 hour or overnight. Position racks in the upper and lower thirds of the oven and preheat to 375 degrees F. Sprinkle the cookies with sea salt. Bake, switching the pans halfway through, until light golden, 10 to 12 minutes. Let cool completely on the baking sheets. Photograph by Levi Brown","Preheat oven to 350°. In a large bowl, combine flour, baking soda, baking powder, salt, baking sugar, and vanilla. In another bowl, beat together butter, brown sugar, egg, and salt. Add to the wet ingredients and beat until well blended. Add the dry ingredients and mix well. Add in the flour mixture and beat well. Pour into prepared cookie sheet. Bake at 350° for 30 minutes or until a toothpick inserted in the center comes out clean. Cool completely before serving.",finetuned_greedy
9,Snack Oyster Surprise,1 pkg. oyster crackers 1 1/2 tsp. garlic powder 1 1/2 tsp. dill weed seed 1 tsp. lemon pepper 1 c. oil 1 pkg. Hidden Valley Ranch dressing (dry),Combine and continue to stir until oil disappears. Can put oil on crackers. Put in oven 5 to 10 minutes.,"In a large bowl, combine oyster, garlic powder, dill, lemon pepper, oil, lemon juice, and salt. Stir in oyster mixture. Add salt and pepper. Cover and refrigerate overnight.",finetuned_greedy
