recipe_id,title,ingredients,reference,prediction,method
0,Ham Balls,"2 c. ham, cubed 3 c. Bisquick 1 c. Cheddar cheese, shredded 2 tsp. spicy mustard 3/4 c. milk 1 c. Parmesan cheese, grated",Combine all ingredients. Roll into nickel size balls. Bake at 375° for 8 minutes or until lightly brown.,Mix all ingredients together. Bake at 350° for 30 minutes.,finetuned_beam
1,Fisherman'S Wharf-Style Clam Chowder In Bread Bowl,"2 tablespoons diced salt pork or 1 slice bacon 1 finely chopped onion 1 finely chopped celery 1 medium potato, peeled and diced 2 tablespoons all-purpose flour 2 cups clam juice 1/4 teaspoon dried thyme 1 cup chopped canned clams 1 cup heavy cream 2 drops Tabasco sauce salt and pepper 1 1/2 lbs bread, bowl","Place salt pork or bacon in a pot and cook 2 minutes over medium heat until crisp. Transfer to a plate and set aside. Add the onion and celery and saute over medium-low heat for 5 minutes or until onions are translucent and celery softens. Sprinkle flour over the mixture and stir into a paste. Add clam juice, potato and thyme. Increase heat and bring ingredients to a boil. Reduce to low and simmer for 15 minutes, or until potatoes are tender. Add clams and stir in cream. Continue to simmer for 5 minutes until thick and creamy. Add salt, pepper and Tabasco sauce. Spoon the chowder into the bread bowl and garnish with salt pork or bacon. Serve hot.","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. In a large bowl, combine the salt pork, bacon, onion, celery, potato, flour, clam juice, thyme, clams, cream, and sauce. Mix well. Pour into a greased and floured 13x9-inch baking dish. Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 20 minutes. Remove from the oven and let cool completely before serving.",finetuned_beam
2,Brussels Sprouts With Cornbread Croutons,"2 lbs Brussels sprouts, trimmed and halved 1 1/2 tablespoons olive oil 1 teaspoon kosher salt 1/4 teaspoon black pepper 2 cups cornbread, cubed-day-old, 1/2-inch cubes 1/4 cup salted butter 1 shallot, inced 1 tablespoon fresh thyme leave","Preheat oven to 425°F. Toss together first 4 ingredients in a large bowl; divide evenly between 2 rimmed baking sheets. Bake in preheated oven until golden brown, about 20 minutes. Reduce oven heat to 350°F. Spread cornbread cubes evenly on a baking sheet; bake at 350°F until browned and crispy, about 15 minutes. Cook butter, stirring constantly, in a medium skillet over medium until foaming. Add shallot and thyme; cook, stirring often, 1 minute. Drizzle butter mixture over toasted cornbread. Arrange Brussels sprouts in a serving dish; top with cornbread mixture.","Preheat the oven to 350 degrees F (175 degrees C). In a large bowl, whisk together the oil, salt, pepper, and shallot. In a small bowl, combine the cornbread cubes, butter, thyme, and thyme. Pour into a greased and floured 9 x 13-inch baking dish. Bake for 20 minutes or until a toothpick inserted in the center comes out clean. Remove from the oven and let cool completely before slicing.",finetuned_beam
3,Mexican Dumplings,1 lb. hamburger 1/2 small tomato (optional) 1 small onion 2 cloves garlic 1 Tbsp. vegetable oil 1/2 pkg. crescent rolls 1 c. salsa 1/2 pkg. Cheddar cheese,Brown onion and garlic in oil. Add hamburger and brown. Drain well. Add tomato and salsa. Roll crescents into 1/4-inch balls and drop in. Place cover to partly cover pan. Reduce heat to low and simmer 15 minutes. Top with cheese. Cover until cheese melts.,"Brown hamburger and onion. Add tomato, onion and garlic. Mix well. Add salsa and cheese. Bake at 350° for 30 minutes.",finetuned_beam
4,Southwestern Marinade for Grilling,"1 limes, zest of or 1 lime, juice of 2 tablespoons canola oil 14 cup honey 14 cup water hot sauce 14 cup chopped fresh cilantro 1 green onion, chopped 1 garlic clove, minced 12 teaspoon red pepper flakes 1 12 teaspoons chili powder 1 teaspoon cumin 12 teaspoon cocoa powder 1 pinch salt","combine all ingredients in a small bowl and stir until honey is dissolved. pour into a resealable bag and add meat, making sure each piece is thoroughly coated. refridgerate for at least 6 hours; overnight is best.","In a large saucepan, heat the oil over medium heat. Add the lime juice, honey, and water. Bring to a boil. Reduce the heat to low and simmer, stirring occasionally, until the mixture is thickened, about 30 minutes. Remove from the heat and stir in the cilantro, green onions, garlic, red pepper, chili powder, cumin, cocoa powder, salt, and pepper. Stir in the chili powder and cumin. Serve immediately.",finetuned_beam
5,Shrimp and Tarragon Mustard Dip,"2 tsp. dijon mustard 1-1/2 tsp. white wine vinegar 2 tsp. dried tarragon, crushed 3/4 cup baby shrimp 1 tsp. lemon juice 2 tsp. fresh tarragon, chopped 1 cup mayonnaise 1/2 cup sour cream","Mix the mustard, lemon juice, vinegar, and tarragon. Blend in the mayonnaise. Add the shrimp, then the sour cream. Blend well. Cover and chill.","Combine mustard, vinegar, tarrabic acid, lemon juice, and lemon juice in a large bowl. Add shrimp and toss to coat. Cover and refrigerate until ready to serve.",finetuned_beam
6,Pie Crust,3 c. flour 1 tsp. salt 1 c. Crisco 1/4 c. cold water,Mix flour and salt. Take out 1/2 cup and mix with the water; set aside.,"Mix flour, salt, Crisco, water and Crisco. Mix well. Bake at 350° for 30 minutes.",finetuned_beam
7,Spiced Vegetables,1 1/2 pounds new potatoes 1 head broccoli florets 5 large carrots sliced into small rounds 1 small cauliflower florets chopped 1 medium onions chopped 1/2 cup ghee (clarified butter),"If potatoes are very small, leave them whole, if not quarter them. Remove tough outer fibre of the broccoli stalk. Chop the whole thing. Steam over boiling water the potatoes, broccoli stem, carrots and cauliflower. After 10 minutes, add the broccoli florets and steam for a few more minutes. Vegetables should be just tender. Meanwhile, in a heavy skillet, saute the onions in half the ghee until they are transparent. Mix in the steamed vegetables except the broccoli florets. Cover and cook for 6 to 8 minutes, stirring frequently. Add broccoli and cook another 5 minutes. Heat remaining ghee and pass around at the table. Serve with injera.","Place potatoes, carrots, cauliflower, onions, ghee and butter in a large bowl. Cover and let stand at room temperature for 30 minutes. Drain and set aside. Heat a large skillet over medium-high heat. Add potatoes and cook, stirring occasionally, until potatoes are tender, about 5 minutes. Remove from heat and stir in ghee. Season with salt and pepper and serve.",finetuned_beam
8,Olive Oil Furniture Polish,"olive oil flavored cooking spray (Pam, Western Family) clean face cloth (old)","Spray either on the cloth or on the hardwood furniture and dust. I found that after a couple of applications, I didn't need the oil spray and just went over the furniture with a clean face cloth.","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. In a large bowl, whisk together olive oil, cooking spray, and clean facecloth. Set aside. In another bowl, combine olive oil and cooking spray; mix well. Pour into prepared baking sheet. Bake in preheated oven for 1 hour or until a toothpick inserted in the center comes out clean.",finetuned_beam
9,Chess Bars,1 egg 1 stick butter 1 box yellow cake mix with pudding 3 eggs 8 oz. cream cheese 1 box powdered sugar,"Mix egg, butter and cake mix; this will be very stiff so you will need to pat into pan. Beat eggs and cream cheese and powdered sugar until smooth; pour on top of first mixture in pan. Bake at 300° for 60 minutes. Let cool and cut into squares.",Mix all ingredients together. Bake at 350° for 30 minutes.,finetuned_beam
