title,ingredients,directions
Savory Squash,"1 1/2 c. yellow squash or zucchini, sliced 1/2 c. onion, chopped 3 c. cooked rice 2 c. yellow cheese, grated 1/2 tsp. pepper 1 tsp. salt 3 eggs, beaten 1/2 c. mayonnaise 1 c. soft bread crumbs","In a covered saucepan, cook squash and onion in a small amount of water until tender. Drain well. Combine with rice, cheese and seasonings. Blend eggs and mayonnaise together and stir into squash mixture. Turn into a buttered, shallow, 2-quart casserole dish and top with bread crumbs. Bake at 350° for 30 minutes."
Clayudas,"1 tablespoon canola oil 1 small white onion, diced (1 cup) 1 garlic clove, minced (1 tsp.) 1 teaspoon ground cumin 1 (15 ounce) can black beans, rinsed and drained 1 (4 ounce) can chipotle chiles in adobo, drained 12 teaspoon brown sugar 32 inches flour tortillas 8 ounces coleslaw mix 12 cup fresh cilantro, chopped 2 tablespoons lime juice","Preheat oven to 450F Heat oil in saucepan over medium-high heat. Add onion, and cook 5 minutes, or until translucent. Add garlic and cumin, and cook 1 minute more. Place onion mixture in blender with beans, chipotle chile, brown sugar, and 3 Tbs. water. Blend until smooth. Season with salt and pepper. Place 2 tortillas each on 2 baking sheets. Spread bean mixture on tortillas, and bake 5 to 7 minutes, or until edges become golden. Toss slaw in bowl with cilantro and lime juice. Season with salt and pepper. Top each clayuda with slaw, and cut into triangles."
Marshmallow Peanut Butter Cupcakes,3 1/2 teaspoons Vanilla Extract 4 cups (plus 3tblsp for frosting) unsalted butter (room temp.) 1 1.2 cups granulated sugar 2 large eggs 4 large yolks 3 cups all-purpose flour 3 teaspoons baking powder 1/2 teaspoon salt 1 cup heavy cream (for use with frosting if too thick) 1 cup creamy peanut butter 4 2/3 cups Confectioner's Sugar 1 (12 oz) Jar of Fluff,".For cupcakes, preheat oven to 350 degrees. Fill cupcake tins with liners & set aside. In the bowl of a mixer combine 2 tsp vanilla extract, 1 cup of butter &1 1/2 cups granulated sugar on medium speed until fluffy. Next, sift together flour, baking powder, & salt in a medium bowl. Set aside. When mixture is fluffy, alternate adding dry ingredients & egg/yolks on medium speed until well combined. Add 1 tsp vanilla extract & combine on low speed. Spoon batter into prepared cupcake tin filling each 2/3 full. Bake until tops are golden brown about 20 minutes depending on your oven. For peanut butter filling: Combine peanut butter & 3 tablespoons butter in bowl of electric mixer fitted with the paddle attachment on medium speed. Once combined, add confectioner's sugar 1/2 cup at a time. Set a side When cupcakes are finished baking, allow them to cool on a rack for about 15 minutes. Once cooled, using a melon-baller, scoop out center of each cupcake making a small well for filling. Fill a pastry bag with peanut butter filling and pipe into center of each cupcake. For frosting: Combine 2 sticks butter with vanilla extract in electric mixer. Add confectioner's sugar & beat on medium speed until mixture resembles frosting. When mixture is creamy, add Fluff. Mix until well combined. Use immediately. If too loose, add more confectioner's sugar; If too thick add cream."
Orange Creamsicle Smoothie,"2 mandarin oranges Halo, peeled 1/2 banana 1 container vanilla Siggi's Yogurt, fat free or full-fat 1/2 cup unsweetened almond milk 1 tablespoon hemp hearts orange zest optional",Puree all ingredients in a blender on high speed. Blend well to pulverize the orange membranes.
Sausage Meatloaf Oamc,"1 lb lean ground beef 1/2 lb ground sausage 1/2 cup celery, chopped 1/2 cup onion, chopped 8 -10 saltines, crushed 2 eggs SAUCE 16 ounces tomato sauce 1/4 cup brown sugar 2 teaspoons prepared mustard 2 teaspoons Worcestershire sauce","Combine ground beef, sausage, celery, onion, saltines, and eggs together and form into 2 loaves. Bake covered at 350 degress Fahrenheit in stoneware for 45 to 75 minutes(depending on the shape of your loaves and desired doneness). Drain grease. For the sauce, combine tomato sauce, brown sugar, mustard, and Worcestershire sauce. Pour sauce over loaves. Cover meatloaf and cook 15 minutes. Remove cover and cook 10 to 15 minutes. To freeze, just freeze the meat mixture in meal size portions. Thaw it in the refrigerator for a day before cooking. You could make and freeze the sauce too, but I usually mix it up when I cook the meat."
Dairy Free Coconut Milk Raita(Nariel Ka Raita),"6 tablespoons full fat coconut milk 2 tablespoons unsweetened coconut, shredded finely 1 small red onion 1 small tomatoes gingerroot 1 serrano chili pepper (or other small hot chile) 2 tablespoons cilantro, minced salt","Finely chop onion and tomato.Mince cilantro ,and peel and finely mince or grate fresh ginger.Combine all ingredients,adding salt to taste. Chill 30 minutes before serving,Serve cold."
The Napoleon,1 ounce Amaretto 1 ounce peach liqueur orange juice 4 ounces sparkling water,"In a cocktail shaker mix in amaretto, peach liqueur and a splash of orange juice. Pour into an old fashioned glass and top with sparkling water. Garnish with an orange slice if you like and serve."
Flaky Pastry,3 c. Sifted flour 1 tsp. Salt 1 c. Shortening 1 Egg 6 Tbsp. Cold water,"Sift together the flour and salt, cut in the shortening. Beat the egg with 5 Tbsp. water, add to the flour and mix. Use remaining water if necessary. Makes 3 pie crusts."
"Fennel, Frisée, And Escarole Salad","3 tablespoons minced shallot 2 tablespoons fresh lemon juice (preferably Meyer lemon) 1 teaspoon red-wine vinegar, or to taste 1/2 teaspoon fine sea salt 1 small head escarole (3/4 pound), torn into bite-size pieces 1 small head frisee (3/4 pound), torn into bite-size pieces 1 small fennel bulb, quartered and thinly sliced or shaved with an adjustable-blade slicer 1/4 cup fine-quality extra-virgin olive oil 1 (1/2-pound) piece Parmigiano-Reggiano","Stir together shallot, lemon juice, vinegar, sea salt, and 1/2 teaspoon pepper in a small bowl. Let stand 5 minutes. Meanwhile, toss together greens and fennel in a salad bowl. Whisk oil into shallot mixture, then toss with salad. Top with shaved parmesan."
Fresh Mozzarella Pasta Toss,"1 Tbsp. olive oil 1 small onion, chopped King Sooper's 1 lb For $0.99 thru 02/09 2 cloves garlic, minced 2 zucchini, quartered, sliced 3 cups CLASSICO FAMILY FAVORITES Traditional Pasta Sauce 1 cup POLLY-O Original Ricotta Cheese 16 POLLY-O Fresh Mozzarella, Ciliegine balls, drained 1/2 lb. penne pasta, cooked, drained 1/4 lb. prosciutto, chopped 1/4 cup chopped fresh basil",Heat oil in large saucepan on medium-high heat. Add onions and garlic; cook and stir 2 min. or until crisp-tender. Add zucchini; cook and stir 5 min. or until zucchini is tender. Stir in remaining ingredients. Cook 5 min. or until heated through.
