recipe_id,title,ingredients,reference,prediction,method
0,Ham Balls,"2 c. ham, cubed 3 c. Bisquick 1 c. Cheddar cheese, shredded 2 tsp. spicy mustard 3/4 c. milk 1 c. Parmesan cheese, grated",Combine all ingredients. Roll into nickel size balls. Bake at 375° for 8 minutes or until lightly brown.,"Combine ingredients in a medium saucepan; bring to boil, stirring constantly. Cook until thickened, about 10 minutes or at least 5 minutes. Remove from heat; cover and cool. Roll balls to fit 13 x 9-inch pan. Bake at 350° for 15 minutes. Let cool before serving.",finetuned_top_k
1,Fisherman'S Wharf-Style Clam Chowder In Bread Bowl,"2 tablespoons diced salt pork or 1 slice bacon 1 finely chopped onion 1 finely chopped celery 1 medium potato, peeled and diced 2 tablespoons all-purpose flour 2 cups clam juice 1/4 teaspoon dried thyme 1 cup chopped canned clams 1 cup heavy cream 2 drops Tabasco sauce salt and pepper 1 1/2 lbs bread, bowl","Place salt pork or bacon in a pot and cook 2 minutes over medium heat until crisp. Transfer to a plate and set aside. Add the onion and celery and saute over medium-low heat for 5 minutes or until onions are translucent and celery softens. Sprinkle flour over the mixture and stir into a paste. Add clam juice, potato and thyme. Increase heat and bring ingredients to a boil. Reduce to low and simmer for 15 minutes, or until potatoes are tender. Add clams and stir in cream. Continue to simmer for 5 minutes until thick and creamy. Add salt, pepper and Tabasco sauce. Spoon the chowder into the bread bowl and garnish with salt pork or bacon. Serve hot.","Preheat oven to 350 degrees. Bring a pot of water to a boil, add the pork, bacon, onion, celery, potato, flour and clam juice. Bring mixture to a simmer and cook until the meat has wilted. Do not overcook. Remove from the heat. Stir in the clam juice, thyme, Worcestershire sauce, Tabas: and 1 1-ounce cream. Stir all of this together and cook gently for 1 hour. Serve with crumbled bread. Garnish each serving with a generous dollop of clams.",finetuned_top_k
2,Brussels Sprouts With Cornbread Croutons,"2 lbs Brussels sprouts, trimmed and halved 1 1/2 tablespoons olive oil 1 teaspoon kosher salt 1/4 teaspoon black pepper 2 cups cornbread, cubed-day-old, 1/2-inch cubes 1/4 cup salted butter 1 shallot, inced 1 tablespoon fresh thyme leave","Preheat oven to 425°F. Toss together first 4 ingredients in a large bowl; divide evenly between 2 rimmed baking sheets. Bake in preheated oven until golden brown, about 20 minutes. Reduce oven heat to 350°F. Spread cornbread cubes evenly on a baking sheet; bake at 350°F until browned and crispy, about 15 minutes. Cook butter, stirring constantly, in a medium skillet over medium until foaming. Add shallot and thyme; cook, stirring often, 1 minute. Drizzle butter mixture over toasted cornbread. Arrange Brussels sprouts in a serving dish; top with cornbread mixture.","Place the sprouts into a large shallow baking dish; arrange them on a waxed sheet. Preheat oven to 170-175 degrees F. Cut each sprout into bite-size pieces. Wrap each sprouts in aluminum foil; bake for 25 minutes or until crisp-tender and tender. Cut your cornbread into bite size pieces and sprinkle all over one piece of lettuce. Sprinkle your remaining leaves with thyme and season with salt and pepper. Refrigerate uncovered, covered, for at least 30 minutes.",finetuned_top_k
3,Mexican Dumplings,1 lb. hamburger 1/2 small tomato (optional) 1 small onion 2 cloves garlic 1 Tbsp. vegetable oil 1/2 pkg. crescent rolls 1 c. salsa 1/2 pkg. Cheddar cheese,Brown onion and garlic in oil. Add hamburger and brown. Drain well. Add tomato and salsa. Roll crescents into 1/4-inch balls and drop in. Place cover to partly cover pan. Reduce heat to low and simmer 15 minutes. Top with cheese. Cover until cheese melts.,Brown hamburger and tomato in oven at 375°. Chop onion in half. Set aside. Combine remaining ingredients in pan. Sprinkle with chopped cheese. Bake until golden brown.,finetuned_top_k
4,Southwestern Marinade for Grilling,"1 limes, zest of or 1 lime, juice of 2 tablespoons canola oil 14 cup honey 14 cup water hot sauce 14 cup chopped fresh cilantro 1 green onion, chopped 1 garlic clove, minced 12 teaspoon red pepper flakes 1 12 teaspoons chili powder 1 teaspoon cumin 12 teaspoon cocoa powder 1 pinch salt","combine all ingredients in a small bowl and stir until honey is dissolved. pour into a resealable bag and add meat, making sure each piece is thoroughly coated. refridgerate for at least 6 hours; overnight is best.","Season with pepper and chili powder. Heat remaining oil in large Dutch oven over medium heat. Add onion and garlic. Cook, stirring constantly, until tender. Stir in honey. Stir and simmer, uncovered, for 10 minutes. Add cilantro, green onions, garlic and onion, and simmer 1 minute longer, stirring often.",finetuned_top_k
5,Shrimp and Tarragon Mustard Dip,"2 tsp. dijon mustard 1-1/2 tsp. white wine vinegar 2 tsp. dried tarragon, crushed 3/4 cup baby shrimp 1 tsp. lemon juice 2 tsp. fresh tarragon, chopped 1 cup mayonnaise 1/2 cup sour cream","Mix the mustard, lemon juice, vinegar, and tarragon. Blend in the mayonnaise. Add the shrimp, then the sour cream. Blend well. Cover and chill.","Mix mustard, wine vinegar and Tbsp. crushed tomatoes and set aside. Heat large nonstick skillet over medium heat. In small bowl, slowly over medium high heat, whisk the shrimp, tarrabellos, lemon and juice. Season with salt and pepper to taste. Pour over shrimp and cook until juices run clear. Serve warm. Enjoy.",finetuned_top_k
6,Pie Crust,3 c. flour 1 tsp. salt 1 c. Crisco 1/4 c. cold water,Mix flour and salt. Take out 1/2 cup and mix with the water; set aside.,Mix well; divide in half. Dip in Crisco; dip in water 1 at a time until all ingredients are coated with batter. Bake at 350° for 15 minutes.,finetuned_top_k
7,Spiced Vegetables,1 1/2 pounds new potatoes 1 head broccoli florets 5 large carrots sliced into small rounds 1 small cauliflower florets chopped 1 medium onions chopped 1/2 cup ghee (clarified butter),"If potatoes are very small, leave them whole, if not quarter them. Remove tough outer fibre of the broccoli stalk. Chop the whole thing. Steam over boiling water the potatoes, broccoli stem, carrots and cauliflower. After 10 minutes, add the broccoli florets and steam for a few more minutes. Vegetables should be just tender. Meanwhile, in a heavy skillet, saute the onions in half the ghee until they are transparent. Mix in the steamed vegetables except the broccoli florets. Cover and cook for 6 to 8 minutes, stirring frequently. Add broccoli and cook another 5 minutes. Heat remaining ghee and pass around at the table. Serve with injera.","Arrange potatoes in a large bowl. Boil until tender. Combine ghee and onions in 2 or 3 batches. Add cauliflower, cauliflower and carrots; stir until well blended. Cover and cook 30 minutes to firm-pipe potatoes. Remove from heat; let cool. Meanwhile, in a Dutch oven, melt butter in a pot; strain into pot. Brown broccoli, using 1 tbsp of butter. Cover pot and cover, letting cool. Spoon into broccoli mixture. Spread ghee mixture over vegetables. Sprinkle green onions on top; sprinkle with salt and serve.",finetuned_top_k
8,Olive Oil Furniture Polish,"olive oil flavored cooking spray (Pam, Western Family) clean face cloth (old)","Spray either on the cloth or on the hardwood furniture and dust. I found that after a couple of applications, I didn't need the oil spray and just went over the furniture with a clean face cloth.","Place face cloth in oven to bake; cover with cooking spray; spread 1 gallon of oil on each of four 6-inch flat, foil-lined pans. Heat oven to 400°. Place oven foil on top, sealing foil. Place 1 gallon olive oil into pan. Combine 4 cups water and 3 cups powdered sugar. Add 1 cup water to pan; stir until combined. Pour remaining oil over pan. Cover and bake 45 minutes or until toothpick inserted near center comes out clean. (Remove toothpick and continue cooking on high to keep toothpick from sticking to pan.) Place 2 cups oil in pan; cook for 1 minute or until browned on top.",finetuned_top_k
9,Chess Bars,1 egg 1 stick butter 1 box yellow cake mix with pudding 3 eggs 8 oz. cream cheese 1 box powdered sugar,"Mix egg, butter and cake mix; this will be very stiff so you will need to pat into pan. Beat eggs and cream cheese and powdered sugar until smooth; pour on top of first mixture in pan. Bake at 300° for 60 minutes. Let cool and cut into squares.","Mix 2 egg yolks and 1 egg yolk together. Put in a 13 x 9-inch baking pan. Beat together 2 Tbsp. cream, 4 eggs, and 2 tsp. powdered sugar in large bowl. Add to egg mixture and mix well. Pour egg mixture into 2-quart casserole dish or in an 8 x 8 pan. Bake at 350° for 15 to 20 minutes until golden brown in spots. Cool on wire racks.",finetuned_top_k
10,Peanut Butter Pie,1 graham cracker crust 1 box vanilla pudding (instant) 1 c. powdered sugar 3/4 c. peanut butter 1 small tub Cool Whip,"Prepare pudding according to package directions. In a separate bowl, mix sugar and peanut butter. Add this mixture to pudding, reserving 1/4 cup of the sugar and peanut butter mixture. Pour into crust and cover with Cool Whip. Sprinkle remaining sugar-peanut butter mixture on top. Refrigerate until serving time.","Put all ingredients in pie plate, layer with cracker crumb. Garnish with whipped topping: marshmallows",finetuned_top_k
