recipe_id,title,ingredients,reference,prediction,method
0,Apple Dumplings,"1 c. sugar 1 c. water 1/2 tsp. cinnamon 2 drops of red food coloring 2 Tbsp. butter 2 c. flour 2 tsp. baking powder 1/2 tsp. salt 2/3 c. shortening 1/2 c. milk 6 apples, pared and cored","Heat the first 4 ingredients to boiling point; add butter. Sift flour, baking powder and salt together. Cut in shortening; add milk all at once. Stir until flour is moistened. Roll 1/4-inch thick; cut in 6-inch squares. Place an apple on each square; season with sugar, cinnamon and butter. Moisten the edges; fold corners to middle and pinch together. Place dumplings 1 inch apart in baking dish. Pour syrup over them and bake about 35 minutes at 375°. Place cinnamon candy or cube of red jelly on top of each one. Serve with milk or cream.","Preheat oven to 350 degrees F. In a large bowl, combine sugar, water, cinnamon, baking powder, salt, and baking powder. In another bowl, mix together the butter, sugar, and flour. In the same bowl, add the apples, milk, and butter. Stir until combined. Pour the mixture into a large mixing bowl and stir in the cinnamon, milk and butter mixture. Pour into the prepared muffin tin and bake for 20-25 minutes or until the apples are golden brown. Remove from the oven and let cool completely.
Serve with a side of chopped strawberries and a side with a slice of fresh mint.
Recipe adapted from: The Apple Dumpling
Ingredients
1 cup sugar
1/2 cup water
1 tsp. vanilla extract
1 1",pretrained_greedy
1,"Butternut Squash, Bacon And Lentil Soup","2 - 3 slices bacon roughly chopped (whatever you've got - ham is fine) 1 butternut squash (peeled and chopped into approx 1 inch pieces) 1 - 2 sticks celery, washed & roughly chopped 1 - 2 leeks washed & chopped 1 - 2 medium carrots washed & chopped Butter - depending on how healthy you've decided to be! 1.5 - 2 litres of stock - it has to be Bouillon A dash of milk (maybe a quarter pint) A couple of good tablespoons of dried red lentils (I use these because you don't have to soak them overnight). Puy lentils would be fine too. Maldon salt & freshly milled black pepper Cream & parsley to finish (optional)","Everything is roughly chopped as you will blend it at the end anyway. Fry the bacon in the butter (a good egg size lump for me!) on a low to medium heat just to colour it (not crisp it). 5 minutes later add the pieces of butternut squash, celery, leeks, and carrot and sweat off for 5 - 10 mins on a low heat. Don't colour the vegetables - you're just trying to soften them. Add the stock (use your imagination on how thick you like your soup but I'd have thought about 1.5 - 2 litres would be good). Stir and let simmer for at least half an hour. Add your lentils and simmer for at least another half hour. If you leave the lid off the soup will become more concentrated. After an hour I normally add some milk - about a quarter pint and just let simmer on a low heat for another 15 minutes. Add some salt & pepper (to your taste). Once cooked, let cool for 10 minutes and then whizz with a hand blender. Once cool, I add some flat leaved parsley and (if not freezing) a swirl of cream. This freezes fabulously and is great for a lunch at work with some fresh crusty bread.","1. Preheat oven to 350 degrees.
2. In a large bowl, combine the bacon, celery and carrots.
3. Add the lentils and mix well.
4. Add salt and pepper to taste.
5. Add a little bit of the stock and mix.
6. Add to the mixture and mix until the mixture is thickened.
7. Add more stock and stir well. (I used a little more stock than I used to, but it's not necessary. I used a lot more stock, so it's a good idea to add more if you want to keep the mixture thickened.)
8. Add some more stock to the mix and mix again.
9. Add another 1/2 cup of stock to mix. (",pretrained_greedy
2,Rocky Road Bars,"12 cup butter 1 cup sugar 12-1 cup nuts, chopped 1 teaspoon vanilla 1 (1 ounce) unsweetened chocolate square 1 cup all-purpose flour 1 teaspoon baking powder 2 eggs 8 ounces cream cheese, softened (reserve 2 oz for frosting) 14 cup butter, softened 12 teaspoon vanilla 1 cup semi-sweet chocolate chips, pkg (6 oz) 12 cup sugar 2 tablespoons all-purpose flour 1 egg 14 cup nuts, chopped 2 cups mini marshmallows 1 (1 ounce) unsweetened chocolate square 14 cup milk 1 teaspoon vanilla 14 cup butter, softened 3 cups powdered sugar 2 ounces cream cheese, remaining from the filling","Preheat oven to 350F. Grease and flour a 9x13-inch pan. In large saucepan over low heat, melt 1/2 cup butter and 1 oz. square of chocolate. Add remaining bar ingredients, mix well. Spread into prepared pan. In small bowl combine 6 oz. cream cheese with sugar, flour, butter, egg and vanilla. Blend until smooth and fluffy. Stir in nuts. Spread over the chocolate mixture. Sprinkle with chocolate chips. Bake 25-35 minutes or until toothpick comes out clean. Remove from oven, sprinkle with marshmallows and bake 2 minutes more. In large saucepan over low heat, melt 1/4 cup butter, 1 oz. chocolate square and remaining cream cheese and milk. Stir in powdered sugar and vanilla until smooth. Immediately pour over the marshmallows and swirl together. Makes 3 dozen squares.","Preheat oven to 350 degrees F. Line a 9-inch baking sheet with parchment paper. In a large bowl, combine the butter, sugar, and vanilla. Add the eggs, cream cheese and vanilla and mix well. Add in the marshmellons and mix until smooth. Add a little more flour and mix. Add to the butter mixture and mix to combine. Add all the ingredients to the prepared baking sheet. Bake for 20 minutes or until the butter is melted. Remove from the oven and let cool completely.
Serve warm with a scoop of chocolate chips.
Recipe adapted from The Rocky Road Barbecue Cookbook by David B. Smith.
This post may contain links to Amazon or other partners; your purchases via these links can benefit Serious Eats. Read more about our",pretrained_greedy
3,Slow Cooker Root Beer Pulled Pork,2 pounds New York (top loin) pork roast 1 can root beer 18 ounces barbecue sauce bottle 8 hamburger buns,"Spray your slow cooker with non-stick cooking spray. Place pork in slow cooker. Pour root beer over the pork. Cover and cook on low heat for 6 to 8 hours or until it shreds easily with two forks. Remove pork and shred it using two forks. Drain most of the liquid from slow cooker (keep about 1/2 cup), and return shredded pork to slow cooker, stir in barbecue sauce. Continue heating on low for an additional 30 minutes, until warmed through. Serve on hamburger buns.","1. In a large bowl, combine the pork roast, barbecue sauce, and root beer.
2. Add the pork and the barbecue sauce to the pork roasting pan.
3. Add all the ingredients to the pan. Cover the pan and cook for 10 minutes.
4. Remove from the heat and allow to cool completely.
5. Remove the pan from the oven and allow the pork to cool for 10 to 15 minutes. Remove and allow it to cool again.
6. Remove pork from the pan, and place it on a baking sheet.
7. Bake for 10-15 minutes or until the pork is golden brown.
8. Remove, and let cool completely before serving.
Recipe Notes:
-This recipe is a great way to make a",pretrained_greedy
4,Tarrah'S Sweet Fried Bananas With Raspberry Coconut Sauce,"10 small bananas 10 egg roll wraps 1/4 cup honey 1 tablespoon cinnamon peanut oil, to deep fry in 1 cup powdered sugar (to garnish) For the Sauce 1 cup raspberries, thawed (pureed and strained) 15 ounces coconut milk (not cream of coconut) 1/4 cup maple syrup (or to taste) 2 teaspoons lemon juice (or half a lemon) 2 tablespoons rum (or your favorite liquor to taste)","For the Bananas: In a deep wok or skillet, fill with peanut oil half way, and heat until about 375 degrees, or when bubbles form around food when placed in oil. (tear off a little piece of the wrappers, and place in oil to test) Place bananas on wrappers diagonaly across, and drizzle with a little honey. Sprinkle a little bit of cinnamon on top of banana and honey. (the 1/4 cup honey and the cinnamon is for all of the bananas). Wrap bananas in eggroll wrappers: Fold bottom corner over banana, then tuck side corners in, Roll rest of wrapper over banana, using a little water (or honey) to seal the edges. Place wrapped bananas in fryer oil and fry until golden (about 5 minutes). Drain on paper towel, and allow to cool slightly before serving. For Sauce: Place strained raspberries and coconut milk in small saucepan and heat over medium heat. Stir to combine, then add and stir in remaining ingredients. Heat mixture until boiled down slightly, and you have a realtivly thick sauce. You may want to chill sauce before serving, but it is good warm too. Sprinkle fried bananas with powdered sugar and serve with raspberry sauce.","Preheat oven to 350 degrees F. In a large bowl, combine the bananas, honey, cinnamon, peanut oil and sugar. Stir until well combined. Add the raspberry mixture and stir until well blended. Add in the rum and rum mixture. Stir to combine. Pour the mixture into a large mixing bowl and stir to combine the remaining ingredients. Pour into a piping bag and refrigerate for at least 1 hour.
For the Sauce: In a small bowl, whisk together the coconut milk, maple syrup, lemon juice, rum, lemon zest, and rum. Pour over the top of the mixture. Pour in the raspberry sauce and stir. Pour to combine and serve.
Recipe Notes: I used a large, heavy-duty blender to make this recipe. I used the same",pretrained_greedy
5,P Triple B,2 ounces Peach Infused Bulleit Bourbon 1/2 ounce Aperol 1/2 ounce Fresh Squeezed Lemon Juice 3/4 ounce hoppy IPA,"Infuse bourbon: Add 1-2 peaches to 750 ml of bourbon and allow to infused for ~6-10 days. Strain and filter, pressing to extract as much as possible. Optional Final Step: add pectic enzyme and filter through a coffee filter to clarify. Shake peach infused bourbon, Aperol, and lemon juice over ice. Add IPA and stir to combine. Double strain into a coupe glass. Garnish with lemon twist or a peach slice.","1. In a large bowl, combine the ingredients for the bourbon and the juice.
2. Add the juice and the Aperols to the bourbon.
3. Add a little water to the APerols and add the juice to the whiskey.
4. Add 1/4 cup of the juice, and add to the juice the A Perols.
5. Add to the vodka and add a little more water to it.
6. Add another 1/8 cup of vodka to the mixture.
7. Add more water and add more A Perol to the mix.
8. Add 2 ounces of the whiskey to the mash.
9. Add 3 ounces of water and 1/3 cup of A Perolin.
10. Add 4 ounces of",pretrained_greedy
6,Chicken Casserole,1 can mushroom soup 1 can celery soup 1 box chicken flavored stuffing mix 1/4 stick oleo 6 chicken breasts 1 pt. sour cream 1 can sliced water chestnuts,"Boil chicken breasts; pull off bone and cut in chunks. Lay in casserole bowl. Mix and heat mushroom soup, celery soup and sour cream. Add oleo to soup mixture. Pour soup over chicken. Top with stuffing mix. Bake, covered, at 350° for 45 minutes. Uncover and cook 20 minutes or until brown.","1. In a large bowl, combine the chicken broth, celery, water chestnut, sour cream, and water chestnuts.
2. Add the chicken breasts and stir to combine.
3. Add all the ingredients to the bowl and stir until the mixture is thickened.
4. Add a little more water chest nuts and stir.
5. Add chicken broth and stir well.
6. Add water chest nuts and stir again.
7. Add more water and stir and stir the whole thing until it is thick.
8. Add some more chicken broth to the mix and stir it well.",pretrained_greedy
7,Phad Ped Gare (Stir-Fried Lamb With Red Curry Paste and Ginger),"200 g lamb, sliced 120 g string beans 80 g purple eggplants 30 g ginger 20 g kaffir lime leaves 10 g fresh black peppercorns 50 g Thai basil 10 g garlic, chopped 10 g small red chilies, chopped 20 g big red chilies, sliced 30 g white sugar 30 g oyster sauce 10 ml coconut milk","Heat wok and add oil. When the oil is hot, add the garlic, small chopped chilies, curry paste and wild ginger. Stir and cook until the mixture is soft and flavorful. Add the lamb, string beans, and eggplant to the curry paste. Keep stirring until fully cooked. Add sugar and oyster sauce and stir well. Taste to see if more seasoning is needed. Add the fresh pepper corns, sweet basil, and sliced chili. Stir well. Ladle on to a plate, add a dash of coconut milk and serve.","1. In a large bowl, combine the lamb, string beans, garlic, ginger, kaffirs, and lime leaves.
2. Add the ginger, chilies and peppercorn leaves. Stir well.
3. Add all the ingredients except the kaffi.
4. Add a little water to the pot.
5. Add 1/2 cup of the water.
6. Add 2 cups of the ketchup.
7. Add 3/4 cup of water. Add 4 cups of water to a large pot. Cover and cook for 10 minutes.
8. Remove from heat and let cool.
9. Serve with a side of rice.
10. Enjoy!
Posted by: Anonymous on May 19, 2013 at 12:00 am",pretrained_greedy
8,Salted Caramel Chocolate Chip Cookies,"2 3 .5-ounce caramel-filled dark chocolate candy bars 1 3/4 cups all-purpose flour 1/2 teaspoon baking soda 1/2 teaspoon baking powder 1/4 teaspoon fine salt 1 stick unsalted butter, at room temperature 1/2 cup packed light brown sugar 1/4 cup granulated sugar 1 large egg 1 teaspoon pure vanilla extract Flaky sea salt, for sprinkling","Freeze the candy bars until hard, at least 1 hour; cut into 1/4-inch pieces and keep frozen until ready to use. Whisk the flour, baking soda, baking powder and fine salt in a medium bowl. Beat the butter, brown sugar and granulated sugar in a large bowl with a mixer on medium speed until light and creamy, about 3 minutes. Add the egg and vanilla and beat until combined. Reduce the mixer speed to low and gradually beat in the flour mixture until incorporated. Stir in the frozen chocolate pieces. Line 2 baking sheets with parchment paper. Arrange scoops of dough (about 2 tablespoons per cookie) about 2 inches apart on the baking sheets. Refrigerate until cold, at least 1 hour or overnight. Position racks in the upper and lower thirds of the oven and preheat to 375 degrees F. Sprinkle the cookies with sea salt. Bake, switching the pans halfway through, until light golden, 10 to 12 minutes. Let cool completely on the baking sheets. Photograph by Levi Brown","Preheat oven to 350 degrees F. Line a 9-inch baking sheet with parchment paper. In a large bowl, combine the flour, baking soda, baking powder, salt, and baking soda. In another bowl, mix together the egg, vanilla, and salt. In the same bowl, whisk together the flour mixture, baking, and sugar. In an electric mixer, beat the butter until light and fluffy. Add the flour mix and beat until combined. Add in the vanilla, egg, and vanilla. Beat until combined and smooth. Add all of the flour and beat well. Add to the wet ingredients and beat on low speed until combined, about 5 minutes. Add a little more flour and mix until combined (about 5 minutes). Add in a little bit more flour, and beat for about",pretrained_greedy
9,Snack Oyster Surprise,1 pkg. oyster crackers 1 1/2 tsp. garlic powder 1 1/2 tsp. dill weed seed 1 tsp. lemon pepper 1 c. oil 1 pkg. Hidden Valley Ranch dressing (dry),Combine and continue to stir until oil disappears. Can put oil on crackers. Put in oven 5 to 10 minutes.,"Preheat oven to 350 degrees F. In a large bowl, combine the oyster and garlic powder. Add the lemon pepper and dill. Stir well. Add salt and pepper to taste. Add oyster mixture and mix well. Pour into a large mixing bowl and stir well. Cover and refrigerate for at least 1 hour.
Serve with a side of your favorite ice cream.
Snack Oysters
Snacks are a great way to get a little extra flavor out of your snack. They are a good way to add a little more flavor to your snacks. Snacks are great for a quick snack or to add to your favorite snack. Snack Snacks can be made in a variety of ways. You can make them in a wide variety of flavors. You",pretrained_greedy
