recipe_id,title,ingredients,reference,prediction,method
0,Apple Dumplings,"1 c. sugar 1 c. water 1/2 tsp. cinnamon 2 drops of red food coloring 2 Tbsp. butter 2 c. flour 2 tsp. baking powder 1/2 tsp. salt 2/3 c. shortening 1/2 c. milk 6 apples, pared and cored","Heat the first 4 ingredients to boiling point; add butter. Sift flour, baking powder and salt together. Cut in shortening; add milk all at once. Stir until flour is moistened. Roll 1/4-inch thick; cut in 6-inch squares. Place an apple on each square; season with sugar, cinnamon and butter. Moisten the edges; fold corners to middle and pinch together. Place dumplings 1 inch apart in baking dish. Pour syrup over them and bake about 35 minutes at 375°. Place cinnamon candy or cube of red jelly on top of each one. Serve with milk or cream.","Combine sugars, water, cinnamon, oil, milk, spices and sugar. Sprinkle flour over apples, then sprinkle butter over the top. Bake at 350º for about 8 to 10 minutes. Let cool on wire rack.",finetuned_top_p
1,"Butternut Squash, Bacon And Lentil Soup","2 - 3 slices bacon roughly chopped (whatever you've got - ham is fine) 1 butternut squash (peeled and chopped into approx 1 inch pieces) 1 - 2 sticks celery, washed & roughly chopped 1 - 2 leeks washed & chopped 1 - 2 medium carrots washed & chopped Butter - depending on how healthy you've decided to be! 1.5 - 2 litres of stock - it has to be Bouillon A dash of milk (maybe a quarter pint) A couple of good tablespoons of dried red lentils (I use these because you don't have to soak them overnight). Puy lentils would be fine too. Maldon salt & freshly milled black pepper Cream & parsley to finish (optional)","Everything is roughly chopped as you will blend it at the end anyway. Fry the bacon in the butter (a good egg size lump for me!) on a low to medium heat just to colour it (not crisp it). 5 minutes later add the pieces of butternut squash, celery, leeks, and carrot and sweat off for 5 - 10 mins on a low heat. Don't colour the vegetables - you're just trying to soften them. Add the stock (use your imagination on how thick you like your soup but I'd have thought about 1.5 - 2 litres would be good). Stir and let simmer for at least half an hour. Add your lentils and simmer for at least another half hour. If you leave the lid off the soup will become more concentrated. After an hour I normally add some milk - about a quarter pint and just let simmer on a low heat for another 15 minutes. Add some salt & pepper (to your taste). Once cooked, let cool for 10 minutes and then whizz with a hand blender. Once cool, I add some flat leaved parsley and (if not freezing) a swirl of cream. This freezes fabulously and is great for a lunch at work with some fresh crusty bread.","Preheat oven to 350 degrees. Bring all ingredients together in a bowl. Chill to room temperature, broil on low for 3 minutes or until tender. Makes 4 wedges. Toss all together. Cover with plastic wrap and chill.",finetuned_top_p
2,Rocky Road Bars,"12 cup butter 1 cup sugar 12-1 cup nuts, chopped 1 teaspoon vanilla 1 (1 ounce) unsweetened chocolate square 1 cup all-purpose flour 1 teaspoon baking powder 2 eggs 8 ounces cream cheese, softened (reserve 2 oz for frosting) 14 cup butter, softened 12 teaspoon vanilla 1 cup semi-sweet chocolate chips, pkg (6 oz) 12 cup sugar 2 tablespoons all-purpose flour 1 egg 14 cup nuts, chopped 2 cups mini marshmallows 1 (1 ounce) unsweetened chocolate square 14 cup milk 1 teaspoon vanilla 14 cup butter, softened 3 cups powdered sugar 2 ounces cream cheese, remaining from the filling","Preheat oven to 350F. Grease and flour a 9x13-inch pan. In large saucepan over low heat, melt 1/2 cup butter and 1 oz. square of chocolate. Add remaining bar ingredients, mix well. Spread into prepared pan. In small bowl combine 6 oz. cream cheese with sugar, flour, butter, egg and vanilla. Blend until smooth and fluffy. Stir in nuts. Spread over the chocolate mixture. Sprinkle with chocolate chips. Bake 25-35 minutes or until toothpick comes out clean. Remove from oven, sprinkle with marshmallows and bake 2 minutes more. In large saucepan over low heat, melt 1/4 cup butter, 1 oz. chocolate square and remaining cream cheese and milk. Stir in powdered sugar and vanilla until smooth. Immediately pour over the marshmallows and swirl together. Makes 3 dozen squares.","Place the butter and sugar on a shallow baking dish; arrange them on a flat surface. Add the vanilla and baking powder, mix well, and mix well to create a fluffy mixture. Place the marshmellons in the center of the butter mixture, mixing well. Add 1 (8 oz) cup powdered sugar, and stir to combine the remaining sugar. Cover the bowl, and let the dough rest for 15 to 20 minutes before rolling it out. Beat the vanilla on the batter and beat well.",finetuned_top_p
3,Slow Cooker Root Beer Pulled Pork,2 pounds New York (top loin) pork roast 1 can root beer 18 ounces barbecue sauce bottle 8 hamburger buns,"Spray your slow cooker with non-stick cooking spray. Place pork in slow cooker. Pour root beer over the pork. Cover and cook on low heat for 6 to 8 hours or until it shreds easily with two forks. Remove pork and shred it using two forks. Drain most of the liquid from slow cooker (keep about 1/2 cup), and return shredded pork to slow cooker, stir in barbecue sauce. Continue heating on low for an additional 30 minutes, until warmed through. Serve on hamburger buns.","In a low heat large skillet over medium-high heat, season pork roast. Set aside. Add remaining ingredients, pork roast, and barbecue sauce. Simmer until pork chops are tender. Add beer and stir until gravy begins to form. Reduce heat and simmer until pork is done. Top with pork chops, carrots, onions and pasta.",finetuned_top_p
4,Tarrah'S Sweet Fried Bananas With Raspberry Coconut Sauce,"10 small bananas 10 egg roll wraps 1/4 cup honey 1 tablespoon cinnamon peanut oil, to deep fry in 1 cup powdered sugar (to garnish) For the Sauce 1 cup raspberries, thawed (pureed and strained) 15 ounces coconut milk (not cream of coconut) 1/4 cup maple syrup (or to taste) 2 teaspoons lemon juice (or half a lemon) 2 tablespoons rum (or your favorite liquor to taste)","For the Bananas: In a deep wok or skillet, fill with peanut oil half way, and heat until about 375 degrees, or when bubbles form around food when placed in oil. (tear off a little piece of the wrappers, and place in oil to test) Place bananas on wrappers diagonaly across, and drizzle with a little honey. Sprinkle a little bit of cinnamon on top of banana and honey. (the 1/4 cup honey and the cinnamon is for all of the bananas). Wrap bananas in eggroll wrappers: Fold bottom corner over banana, then tuck side corners in, Roll rest of wrapper over banana, using a little water (or honey) to seal the edges. Place wrapped bananas in fryer oil and fry until golden (about 5 minutes). Drain on paper towel, and allow to cool slightly before serving. For Sauce: Place strained raspberries and coconut milk in small saucepan and heat over medium heat. Stir to combine, then add and stir in remaining ingredients. Heat mixture until boiled down slightly, and you have a realtivly thick sauce. You may want to chill sauce before serving, but it is good warm too. Sprinkle fried bananas with powdered sugar and serve with raspberry sauce.","Boil for 2 minutes in the water. Add the coconut milk, honey and cinnamon. Cover and chill, stirring until firm. Once chilled, remove from heat. Add 1 tablespoon of the vinegar and toss to coat. Simmer 2 minutes, stirring. Let the bananas sit for 1 to 2 minutes before using.",finetuned_top_p
5,P Triple B,2 ounces Peach Infused Bulleit Bourbon 1/2 ounce Aperol 1/2 ounce Fresh Squeezed Lemon Juice 3/4 ounce hoppy IPA,"Infuse bourbon: Add 1-2 peaches to 750 ml of bourbon and allow to infused for ~6-10 days. Strain and filter, pressing to extract as much as possible. Optional Final Step: add pectic enzyme and filter through a coffee filter to clarify. Shake peach infused bourbon, Aperol, and lemon juice over ice. Add IPA and stir to combine. Double strain into a coupe glass. Garnish with lemon twist or a peach slice.","Mix all ingredients in a bowl, combine. Pour into a small bowl. Place dry ingredients in soda well so they form a perfect, rolling ball. Pour all ingredients down into the bottom of your pitcher. Spoon beer on top and serve.",finetuned_top_p
6,Chicken Casserole,1 can mushroom soup 1 can celery soup 1 box chicken flavored stuffing mix 1/4 stick oleo 6 chicken breasts 1 pt. sour cream 1 can sliced water chestnuts,"Boil chicken breasts; pull off bone and cut in chunks. Lay in casserole bowl. Mix and heat mushroom soup, celery soup and sour cream. Add oleo to soup mixture. Pour soup over chicken. Top with stuffing mix. Bake, covered, at 350° for 45 minutes. Uncover and cook 20 minutes or until brown.","While chicken soup cooks in a stand mixer, add chicken broth and vegetables. Bring to a boil over high heat. Drain with cold water. Serve warm. Cool before serving.",finetuned_top_p
7,Phad Ped Gare (Stir-Fried Lamb With Red Curry Paste and Ginger),"200 g lamb, sliced 120 g string beans 80 g purple eggplants 30 g ginger 20 g kaffir lime leaves 10 g fresh black peppercorns 50 g Thai basil 10 g garlic, chopped 10 g small red chilies, chopped 20 g big red chilies, sliced 30 g white sugar 30 g oyster sauce 10 ml coconut milk","Heat wok and add oil. When the oil is hot, add the garlic, small chopped chilies, curry paste and wild ginger. Stir and cook until the mixture is soft and flavorful. Add the lamb, string beans, and eggplant to the curry paste. Keep stirring until fully cooked. Add sugar and oyster sauce and stir well. Taste to see if more seasoning is needed. Add the fresh pepper corns, sweet basil, and sliced chili. Stir well. Ladle on to a plate, add a dash of coconut milk and serve.",Arrange lamb in a large bowl. Boil until light and bubbly. Reduce heat to medium. Add sesame seeds and celery. Simmer 30 minutes.,finetuned_top_p
8,Salted Caramel Chocolate Chip Cookies,"2 3 .5-ounce caramel-filled dark chocolate candy bars 1 3/4 cups all-purpose flour 1/2 teaspoon baking soda 1/2 teaspoon baking powder 1/4 teaspoon fine salt 1 stick unsalted butter, at room temperature 1/2 cup packed light brown sugar 1/4 cup granulated sugar 1 large egg 1 teaspoon pure vanilla extract Flaky sea salt, for sprinkling","Freeze the candy bars until hard, at least 1 hour; cut into 1/4-inch pieces and keep frozen until ready to use. Whisk the flour, baking soda, baking powder and fine salt in a medium bowl. Beat the butter, brown sugar and granulated sugar in a large bowl with a mixer on medium speed until light and creamy, about 3 minutes. Add the egg and vanilla and beat until combined. Reduce the mixer speed to low and gradually beat in the flour mixture until incorporated. Stir in the frozen chocolate pieces. Line 2 baking sheets with parchment paper. Arrange scoops of dough (about 2 tablespoons per cookie) about 2 inches apart on the baking sheets. Refrigerate until cold, at least 1 hour or overnight. Position racks in the upper and lower thirds of the oven and preheat to 375 degrees F. Sprinkle the cookies with sea salt. Bake, switching the pans halfway through, until light golden, 10 to 12 minutes. Let cool completely on the baking sheets. Photograph by Levi Brown","In a blender or food processor cream together the chocolate candy, sugar, flour, baking soda, salt, baking powder, baking, and salt. Blend on medium-high until smooth. Scrape down the sides of a 9-inch-long cookie cutter and cut into wedges. Place into a greased 9-x13-inch pan. Combine the ovenproof cookies and the powdered sugar. Whisk together the melted chocolate mixture, the glaze, and the butter in a medium bowl. Fold in the powdered eggs, the sugar, vanilla, and pure vanilla. Pour into a 13-ounce serving (6-cup) can. Bake at 350 degrees F for 8-10 minutes or until toothpick inserted, one side slightly blistered.",finetuned_top_p
9,Snack Oyster Surprise,1 pkg. oyster crackers 1 1/2 tsp. garlic powder 1 1/2 tsp. dill weed seed 1 tsp. lemon pepper 1 c. oil 1 pkg. Hidden Valley Ranch dressing (dry),Combine and continue to stir until oil disappears. Can put oil on crackers. Put in oven 5 to 10 minutes.,"Melt butter in a large skillet over medium heat. Add oyster filling and whisk until well blended. In a medium bowl, mix flour, salt, oregano, ginger, garlic, and 1/4 tsp. salt. Stir together oyster flavors; add remaining ingredients and toss until mixture is soft. Stir in dill and oil; stir to coat ingredients. Heat oyster mixture over medium-high heat and cook 1 minute. Turn oyster rack to serving point; rack on center side until dry. Let rest for 10 minutes. (Make this at least 2 hours before serving)",finetuned_top_p
